username	residence	current_location	name	mail	job	sex	race	address	birthdate	user_id
fcardoso		(Decimal('26.6296485'), Decimal('-30.197881'))	Beatriz Viana	da-conceicaonathan@hotmail.com	Gagsman		black	"Fazenda Porto, 6
Conjunto Paulo Vi
73687-251 Jesus / DF"		652
michael76		(Decimal('49.2000115'), Decimal('-45.164449'))	Šárka Machová	simekmarian@centrum.cz					1991-05-10	724
stepanekrene		(Decimal('-6.308989'), Decimal('-6.339759'))	Šárka Pospíšilová	vackovaveronika@centrum.cz				"Mladoboleslavská 2
421 92 Husinec"	1932-11-18	1485
manuelspallanzani		(Decimal('25.8880125'), Decimal('137.234235'))	Fiorino Gramsci	costanzo52@libero.it			white			1171
qmonteiro		(Decimal('-27.913481'), Decimal('-0.727715'))	Isaac da Luz	antonio66@hotmail.com	Ferroviário	M		"Rua de Oliveira, 3
Santo Antônio
87857-283 Azevedo / RS"		949
nathanda-mota	"Área Emanuella Gomes, 67
Santa Rita De Cássia
01199-784 Pereira / AP"	(Decimal('79.6472265'), Decimal('-54.539227'))	Pedro Cardoso	lucas-gabrielda-paz@gmail.com				"Vila de Vieira
Vila Mantiqueira
76374-693 Dias / MS"	1916-04-10	1990
ftropea		(Decimal('79.770936'), Decimal('60.367381'))	Luciana Sinisi	aloisioantonello@vodafone.it	Acupuncturist	F		"Stretto Sophia, 357 Piano 2
06126, Montebello (PG)"		776
prochazkovablanka		(Decimal('-84.834733'), Decimal('-60.191676'))	Věra Veselá	lhajek@centrum.cz	Customer service manager			"Roblínská 9
653 45 Králíky"	1909-06-10	1875
marekvlcek	"Na Břevnovské Pláni 43
496 52 Velké Bílovice"	(Decimal('-73.9369855'), Decimal('19.066114'))	Renáta Svobodová	cermakovaruzena@centrum.cz		F		"Loděnická 348
123 02 Budyně nad Ohří"		260
mfisher	"23322 Ray Stravenue
Port Franciscohaven, KY 73624"	(Decimal('33.418117'), Decimal('-161.056012'))	Cheryl Stafford	tiffanyray@yahoo.com		F		"94711 Whitney Dam
Lake James, NV 14488"	2011-09-05	2012
wcunha	"Passarela Silva, 9
Vila São Paulo
90472-752 Azevedo / SE"	(Decimal('54.029954'), Decimal('158.450156'))	Marcelo Viana	kmoraes@hotmail.com				"Viaduto Laís Campos, 15
Santa Rosa
54233-827 Cardoso / MT"	1928-06-27	443
jkolarova		(Decimal('-14.041057'), Decimal('-96.175752'))	Lucie Procházková	lukas43@email.cz		F	black	"Rýmařovská 4
697 46 Bystřice pod Hostýnem"	2022-03-26	1133
ocruz	"83298 King Ford
East Nicoletown, IL 58676"	(Decimal('-23.607939'), Decimal('-3.198269'))	Karen Miller	christina89@gmail.com	Music therapist				1947-12-31	270
andrea21		(Decimal('-85.385401'), Decimal('69.300956'))	Marian Marek	prochazkadenis@gmail.com						1065
kumiko71		(Decimal('-87.607147'), Decimal('-39.121526'))	佐藤 京助	chiyotakahashi@gmail.com	経営者	M		石川県稲城市三筋37丁目20番1号	1917-10-02	1363
ccorreia		(Decimal('34.468574'), Decimal('166.207723'))	Rafaela Castro	carolinada-conceicao@yahoo.com.br	Frentista			"Distrito Olivia Alves, 16
Silveira
52676631 Lopes / RS"	1911-09-16	1864
manabu33			中川 亮介	hasegawaryohei@yahoo.com		M		広島県印旛郡本埜村台東14丁目23番8号	1945-05-14	1449
samuelda-cunha		(Decimal('31.339062'), Decimal('111.704794'))	Dr. Nathan Aragão	davi-luizsilva@gmail.com	Babysitter	M		"Largo Alexia Correia, 538
Solar Do Barreiro
24913-305 Caldeira / RN"	1944-05-16	690
buttesylvia	"Lore-Salz-Straße 31
55074 Querfurt"	(Decimal('-54.8580935'), Decimal('-60.730359'))	Lilli Römer	ricardojungfer@hotmail.de	Designer		asian	"Benderstr. 705
96738 Neustrelitz"	1995-04-26	1350
laura46			Jacqueline Webb	caldwellmaria@yahoo.com	Corporate treasurer		black	"02040 Matthew Park Apt. 724
Douglaston, UT 27573"		1465
qvavrova			Ivan Bláha	emilkucera@email.cz			indian	"Žinkovská 35
673 21 Kladno"	1976-08-05	1498
sayuritanaka	長崎県富里市方京29丁目11番15号	(Decimal('74.1709085'), Decimal('-133.492340'))	村上 直樹	sayurisato@yahoo.com	ウェブデザイナー	M		茨城県千代田区所野26丁目21番9号		541
sarah74	"Lago Lima, 52
Santa Lúcia
63726468 Nascimento / AP"	(Decimal('-72.247848'), Decimal('89.697560'))	Ana Laura Duarte	fernandesluiz-henrique@hotmail.com		F	unspecified			1966
isisaragao	"Jardim de Cavalcanti, 3
Morro Dos Macacos
94652-118 Costa do Amparo / MS"	(Decimal('85.2829295'), Decimal('107.936643'))	Pietro Porto	nathandias@uol.com.br	Moldador			"Praia Bryan Jesus
Floramar
14040-425 Teixeira / SC"	1958-04-05	1826
ynovotna		(Decimal('-19.505493'), Decimal('-19.869132'))	Mgr. Filip Pospíšil	rblaha@centrum.cz				"Vyhlídkova 978
451 97 Kostelec nad Černými lesy"		261
josegarcia		(Decimal('85.092296'), Decimal('18.992880'))	Ashley Gallegos	reneedawson@hotmail.com		F	unspecified	"784 Danielle Expressway Suite 215
Patriciaburgh, SC 87771"	1935-03-07	1028
guenther79		(Decimal('-39.225841'), Decimal('129.244514'))	Herrmann Wohlgemut	marianna78@gmx.de			unspecified		1913-08-03	2321
isaacrodrigues	"Estrada Azevedo, 43
São Bento
28042601 Moraes da Praia / RJ"	(Decimal('1.529445'), Decimal('-15.523790'))	Sr. Anthony Nascimento	peixotorenan@bol.com.br		M		"Viaduto Cunha, 9
Cdi Jatoba
19118-799 da Mata de da Rosa / RO"		1344
marcaccimaura		(Decimal('-64.087514'), Decimal('165.583892'))	Sergius Battaglia	gonzagaliana@tim.it		M		"Strada Lazzaro, 42 Appartamento 56
53030, Castel San Gimignano (SI)"		1898
luiz-fernando89		(Decimal('37.904537'), Decimal('119.584249'))	Dra. Laís Cunha	costelarenan@uol.com.br	Brigadeiro	F		"Campo Isabella Teixeira, 3
Venda Nova
54922-840 Silva / AC"	1973-10-28	694
danielle36	"8531 Jonathan Trafficway
Lake Scottland, WY 09533"	(Decimal('39.250498'), Decimal('129.780361'))	Joshua Baker	bethwalker@yahoo.com				"745 Hicks Center Apt. 583
North Makayla, OK 60831"	1918-04-13	2375
lucacianciolo	"Vicolo Mascheroni, 243 Piano 6
11016, La Thuile (AO)"	(Decimal('27.051414'), Decimal('50.931667'))	Paulina Papetti	gianmarcopetralli@fastwebnet.it	Drilling engineer			"Canale Tamborini, 737
38020, Rabbi (TN)"	2007-04-25	799
osvaldo07	"Rotonda Orengo, 2
86070, Roccaravindola (IS)"	(Decimal('-7.335148'), Decimal('37.388805'))	Raffaello Siffredi	grifeogirolamo@vodafone.it				"Piazza Michelangelo, 1
51021, Le Regine (PT)"		1303
juliane34		(Decimal('35.3347025'), Decimal('118.111686'))	Agathe Schaaf	tino11@gmail.com	Erzieher			"Ariane-Rädel-Platz 54
85303 Miesbach"		553
julia39	"Recanto Francisco Nunes, 13
Barão Homem De Melo 3ª Seção
03162282 Rezende do Oeste / AL"	(Decimal('-71.294488'), Decimal('91.264266'))	Emanuel Farias	cunhabrenda@bol.com.br		M	asian	"Rua de Porto, 43
Beija Flor
47200405 Barros do Oeste / MA"	1942-02-23	2269
kazuyaendo		(Decimal('-59.6298755'), Decimal('-147.995906'))	岡田 明美	jmatsuda@hotmail.com				高知県四街道市太田ヶ谷21丁目10番5号 ハイツ虎ノ門998	1922-08-28	1793
courtneyholland	"2322 Fleming Lane
East Bradleyfurt, NC 64681"	(Decimal('-26.3790765'), Decimal('150.138353'))	Donald Woodard	tammysheppard@hotmail.com		M	unspecified	"0665 Valentine Road
Caseyberg, CT 72957"		2377
harukahasegawa		(Decimal('-83.9713015'), Decimal('-24.057085'))	松本 和也	kenichimatsuda@yahoo.com	医師		black	佐賀県横浜市磯子区芝大門8丁目1番15号	1964-02-03	2198
davi-luizda-cruz		(Decimal('84.4622175'), Decimal('80.273504'))	Srta. Melissa Campos	davi38@ig.com.br	Separador	F		"Colônia de Peixoto, 346
Glória
72963982 Lima / ES"	1958-11-26	266
hsmith		(Decimal('-22.379442'), Decimal('150.546926'))	Debbie Johnson	gibbsapril@hotmail.com	Production assistant, television			"80730 Gonzalez Common Suite 267
South Larry, AZ 05587"		1203
stepanekrudolf		(Decimal('-21.8248745'), Decimal('167.680217'))	Blanka Dušková	magdalena91@chello.cz				"Severní Viii 560
627 93 Smiřice"	1947-07-06	2351
vitor78		(Decimal('83.4982575'), Decimal('65.957503'))	Pietra Cardoso	stephany53@bol.com.br	Homeopata			"Ladeira de da Mata, 271
Camargos
61264784 Pinto do Amparo / PA"	1931-08-01	603
pospisilovaradka	"Cerhenická 864
300 53 Brušperk"	(Decimal('47.1040875'), Decimal('-159.049971'))	Miloš Bartoš	antoninhorak@volny.cz	Paediatric nurse				2000-10-25	1286
rominabulzoni	"Rotonda Gianpaolo, 8 Appartamento 60
64039, Val Vomano (TE)"	(Decimal('-63.3481895'), Decimal('-17.642276'))	Luca Piovani	annetta22@tin.it		M		"Piazza Vittoria, 53 Appartamento 4
11023, Chambave (AO)"		621
cmori	徳島県長生郡一宮町月島15丁目19番18号 天神島パーク031	(Decimal('31.7317045'), Decimal('159.410062'))	井上 陽一	okadashohei@yahoo.com	測量士	M		山口県川崎市川崎区鍛冶ケ沢32丁目17番18号 南赤田シャルム223		2184
maskovamiloslava		(Decimal('51.029123'), Decimal('-35.798461'))	Anežka Zemanová	stepankovakveta@volny.cz		F	unspecified	"Křížkovského 3
720 10 Chomutov"		1297
zaragao		(Decimal('75.7501075'), Decimal('-29.370330'))	Diego Teixeira	cavalcantilorena@yahoo.com.br				"Conjunto Nicole Pires
Vila Antena Montanhês
95052416 Melo Grande / RS"		178
kopeckazdenka		(Decimal('-46.207694'), Decimal('160.426822'))	Nikol Jelínková	tichazuzana@chello.cz				"V Závitu 13
587 22 Smečno"	2007-03-01	1958
oliveiramariane	"Vale Melo, 26
Salgado Filho
03363210 Viana / RJ"	(Decimal('60.031192'), Decimal('68.388052'))	Cauê Gomes	ryanbarbosa@yahoo.com.br		M		"Distrito Stella Caldeira, 72
Morro Dos Macacos
57930413 Rodrigues de Ramos / CE"		1528
georgeberry		(Decimal('86.2761865'), Decimal('2.638583'))	Ronald Johnson	jeremy45@hotmail.com		M		"966 Bobby Forge Suite 001
Santosport, AS 63752"		1318
annamariagiolitti		(Decimal('19.068529'), Decimal('171.674798'))	Michelotto Leone	alphonspapetti@gmail.com		M	white	"Canale Agnolo, 9 Piano 4
21056, Induno Olona (VA)"	1988-02-09	55
tinahall		(Decimal('-17.727253'), Decimal('12.751514'))	Robert Gonzalez	franklinmargaret@yahoo.com	Water quality scientist	M	asian	"6633 Peck Squares
North Christopher, WV 45011"		2271
wmorpurgo	"Rotonda Forza, 459
07018, Pozzomaggiore (SS)"	(Decimal('-38.990885'), Decimal('167.204786'))	Sig.ra Antonietta Morosini	ilussu@libero.it		F			1951-11-25	1176
yasminmoura	"Ladeira Bernardo Ferreira, 32
Vila Da Amizade
06165-213 Almeida das Flores / RJ"	(Decimal('7.4697185'), Decimal('154.890887'))	Enrico Oliveira	da-costaeduarda@gmail.com	Ferramenteiro	M		"Recanto da Rocha, 8
Vila Nova Paraíso
57868-449 Rezende / MA"	1965-04-14	1657
maria-sophiaduarte		(Decimal('-0.5714405'), Decimal('37.307835'))	João Pedro Caldeira	piresrafaela@ig.com.br				"Passarela Gomes, 74
Vila Maria
79095823 Vieira dos Dourados / MG"		1594
qbenedetti	"Piazza Camuccini, 92 Piano 5
56044, Montecerboli (PI)"	(Decimal('47.541753'), Decimal('44.700622'))	Mariano Marinetti	saverioniggli@fastwebnet.it				"Via Panicucci, 647 Piano 3
42021, Barco (RE)"		2166
asonnino	"Via Piergiuseppe, 44
51035, Mastromarco (PT)"		Dott. Sante Curatoli	gioacchinogrossi@hotmail.com		M		"Strada Roero, 17
40055, Castenaso (BO)"		118
ymcdonald	"USCGC Mcbride
FPO AP 75794"	(Decimal('24.943354'), Decimal('107.314741'))	Jane Benton	ewhite@yahoo.com	Copy		unspecified	"2828 John Causeway Suite 230
Wrightshire, AZ 36465"	1910-09-29	1474
mauro35		(Decimal('56.6782685'), Decimal('-62.240207'))	Alfredo Peranda	romolobertoli@tele2.it				"Borgo Arturo, 776
90019, San Nicolo' L'Arena (PA)"	1947-01-20	1587
qjimenez		(Decimal('82.2792705'), Decimal('-171.674428'))	Mr. Carlos Adams	jamesgallagher@gmail.com	Adult nurse	M		"800 White Pass Suite 381
Michaelfurt, AS 20218"		2511
gsanchez		(Decimal('-63.1810035'), Decimal('-123.472504'))	Kelly Morris	william13@yahoo.com			black	"24330 Daniel Flat
Nicholehaven, IL 16941"		2420
renzidaniele		(Decimal('83.754481'), Decimal('105.500275'))	Sylvia Morabito	sandilivia@fastwebnet.it						961
ana06	"Rodovia Yuri Almeida, 2
Conjunto Jardim Filadélfia
36424-656 Nunes / GO"	(Decimal('3.987961'), Decimal('71.475168'))	Kevin Araújo	davi-lucca61@gmail.com				"Rua Ana Beatriz da Costa, 94
Pilar
61383-684 Nascimento de Jesus / SE"	1938-07-26	767
hajodrubin		(Decimal('-60.8368515'), Decimal('-8.812707'))	Frank-Peter Schleich B.A.	heringpedro@hotmail.de	Drogist			"Mälzerplatz 39
52553 Gardelegen"	1943-11-04	1431
jacobjulia		(Decimal('77.9642955'), Decimal('31.777035'))	Freya Bruder	georgwilmsen@hotmail.de	Chemikant	F		"Schmiedeckeplatz 1
41073 Celle"	2021-06-25	1108
xbarkholz	"Ernestine-Briemer-Gasse 78
88669 Sankt Goarshausen"	(Decimal('52.861406'), Decimal('-139.525622'))	Polina Spieß-Wilmsen	nreuter@yahoo.de	Erzieher	F		"Wolfgang-Geißler-Ring 9/6
32855 Nabburg"	1960-07-04	542
bcerna		(Decimal('-31.1184765'), Decimal('125.863644'))	René Moravec	malyoldrich@seznam.cz	Pension scheme manager			"Vlastislavova 659
684 01 Šlapanice"		572
maaya20	高知県印旛郡印旛村天神島40丁目1番7号 ハイツ津久戸町637	(Decimal('22.5200055'), Decimal('14.679870'))	藤井 美加子	ufujii@yahoo.com				長野県長生郡一宮町押上38丁目27番8号 シャルム轟010	1996-05-31	2297
federico05		(Decimal('57.604363'), Decimal('-28.104100'))	Sig. Liberto Donarelli	federicocelentano@gmail.com	Special educational needs teacher	M		"Strada Eliana, 68 Appartamento 45
98043, Rometta Marea (ME)"	1920-05-08	952
fiacobucci		(Decimal('1.7690535'), Decimal('-138.407009'))	Dott. Beppe Anastasi	lucchesiiolanda@libero.it	Energy manager	M	unspecified	"Contrada Maria, 10 Piano 2
36028, Rossano Veneto (VI)"	1968-04-01	1192
yosuke32	鹿児島県川崎市中原区戸山2丁目19番20号 平須賀コーポ675	(Decimal('12.525335'), Decimal('13.650155'))	鈴木 治	hayashitaro@gmail.com		M		奈良県清瀬市柿木沢新田31丁目14番18号 松が谷シティ799		1573
kadlecrostislav			Tomáš Jelínek	andrea44@centrum.cz				"Na Příčné Mezi 16
253 97 Klimkovice"	1981-04-09	1858
giulianadoglioni		(Decimal('-35.823084'), Decimal('151.735797'))	Pina Fracci	ccapone@yahoo.com				"Rotonda Dario, 5 Piano 0
10035, Mazze' (TO)"		97
lkadlecova	"Súdánská 3
707 25 Bohušovice nad Ohří"	(Decimal('24.900752'), Decimal('-162.803032'))	Břetislav Novotný	dvorakkarel@seznam.cz			unspecified	"Ambrožova 395
275 04 Ústí nad Labem"		848
clelia38			Sig.ra Ilaria Cuzzocrea	petrucciimelda@tele2.it	Lexicographer	F	unspecified	"Contrada Donato, 74 Piano 0
93019, Trabia Miniere (CL)"		140
brittmisicher		(Decimal('-5.800887'), Decimal('120.866460'))	Univ.Prof. Fanny Sauer	willibertroehricht@gmx.de		F		"Engin-Austermühle-Platz 0/0
87551 Hainichen"	2014-09-20	689
elfriedeeberhardt	"Gilbert-Werner-Straße 1/8
94752 Schmölln"	(Decimal('-59.780917'), Decimal('-96.556885'))	Reinhard Ebert	claas44@googlemail.com	Fachinformatiker	M		"Ariane-Käster-Ring 112
31271 Kronach"		2482
eduarda63		(Decimal('-1.870233'), Decimal('160.465148'))	João Pedro Oliveira	fernandada-rosa@uol.com.br	Selecionador de pessoal	M		"Jardim Teixeira, 53
São Vicente
79754068 da Luz / PE"		1390
vubaldi		(Decimal('-80.470949'), Decimal('117.043592'))	Gianpietro Giacometti	tonino22@gmail.com		M		"Contrada Aldobrandi, 84 Appartamento 71
10073, Cirie' (TO)"	1940-06-23	185
greggiomelissa		(Decimal('76.444006'), Decimal('98.399359'))	Monica Moneta	drenzi@live.com		F		"Borgo Marazzi, 64
47019, Tredozio (FC)"	1941-05-24	2069
mariane55	"Setor Monteiro, 479
Vila Pinho
71768-459 da Mata Grande / SE"	(Decimal('3.392672'), Decimal('-27.999219'))	Dra. Clara Santos	moraeslucas-gabriel@uol.com.br				"Ladeira Catarina Gomes, 675
Tupi B
05735607 da Mata / DF"	2023-03-23	392
kimberly11	"288 Watson Plaza
Lake Colleenport, RI 62949"	(Decimal('-25.9787735'), Decimal('76.913911'))	Jessica Morgan	scampbell@hotmail.com		F	unspecified	"08978 Lane Lakes
Walterborough, WY 84791"		1820
aoliveira		(Decimal('68.2923955'), Decimal('66.839601'))	Luiz Miguel Fogaça	lrezende@hotmail.com			asian	"Área de Lima, 49
Vila Da Luz
42653508 Porto / MT"	1914-12-09	1837
robert64		(Decimal('41.272645'), Decimal('-114.480105'))	Victor Hall	joshuacannon@gmail.com	Licensed conveyancer	M		"373 Roy Hill Apt. 138
Chrisbury, ID 29005"	1937-01-09	637
wmitchell		(Decimal('-38.281243'), Decimal('-1.624998'))	Mark Martin	rrowe@gmail.com		M		"3690 James Bypass
Tracyfort, AK 45436"	2017-11-27	137
brenomonteiro		(Decimal('-66.5536805'), Decimal('-86.929450'))	Lucas da Costa	davi-luiz58@gmail.com	Designer gráfico	M	asian	"Trecho Bernardo Caldeira
Cidade Jardim
81400064 Correia de das Neves / SC"		1639
nnunes		(Decimal('-87.0418985'), Decimal('65.941626'))	Francisco Aragão	isabellymoura@uol.com.br	Pecuarista		indian	"Rua Daniela Pires, 93
Vila Da Amizade
79294078 Castro / TO"	1995-06-16	315
gpeixoto		(Decimal('41.708046'), Decimal('100.941717'))	Heitor Pinto	azevedoisabel@gmail.com				"Fazenda de Rodrigues
Silveira
91081108 Martins / BA"	1927-01-30	2294
minoru63			吉田 里佳	yamazakimituru@gmail.com		F		東京都我孫子市三筋16丁目22番2号	1981-03-02	1319
simekroman	"Tachovské Náměstí 70
722 22 Nové Město nad Metují"	(Decimal('39.424338'), Decimal('-95.437610'))	Luboš Černý	masekdominik@gmail.com	Chartered legal executive (England and Wales)			"Staňkovka 904
252 23 Městec Králové"		1856
chigigiulio	"Stretto Duse, 4 Piano 9
14014, Capriglio (AT)"	(Decimal('5.822853'), Decimal('-141.666738'))	Martina Modugno	baglionininetta@gmail.com	Accountant, chartered			"Via Ranieri, 710
73012, Campi Salentina (LE)"	1920-02-24	1318
rosa85		(Decimal('-46.1630385'), Decimal('-94.211881'))	Ninetta Pigafetta	sabatinoprati@hotmail.com		F		"Borgo Ficino, 19
20057, Assago (MI)"		457
hajkovamilena		(Decimal('-54.3453495'), Decimal('-23.843798'))	Dominik Kučera	thorak@gmail.com			white			386
jenkinschristopher	"74195 Montoya Ford Apt. 834
Lake Eileen, KY 28309"	(Decimal('85.0323975'), Decimal('-154.573048'))	Traci Harris	jonathanwood@yahoo.com				"685 Jason Harbors Suite 979
Port Wesleyburgh, MT 38194"		916
prudolph	"Winklerweg 175
74310 Güstrow"	(Decimal('-85.9749555'), Decimal('-17.330144'))	Leni Butte-Haase	wiekdetlev@yahoo.de			unspecified	"Klothilde-Pohl-Straße 61
64933 Cottbus"	1989-12-13	976
dmares		(Decimal('50.525425'), Decimal('135.995983'))	Luboš Soukup	krejcijan@volny.cz		M		"Za Pivovarem 440
670 61 Bystré"	1981-06-05	2437
monteiroamanda		(Decimal('-49.6126035'), Decimal('-128.009155'))	Valentina Porto	kevinvieira@hotmail.com	Médico cirurgião			"Lagoa das Neves, 70
Horto Florestal
35116-095 Carvalho de Minas / RR"	1941-02-23	1512
dfritsch		(Decimal('-16.642690'), Decimal('172.953874'))	Arthur Schwital MBA.	wagnerrosa@gmail.com	Fachinformatiker			"Martina-Kade-Ring 451
82651 Aurich"		1127
ytakahashi	宮城県八王子市氏家5丁目8番8号	(Decimal('78.306951'), Decimal('-171.947118'))	田中 香織	junyamada@hotmail.com				青森県西多摩郡瑞穂町羽折町3丁目5番2号 シャルム細竹675	1987-06-16	1049
bottacalcedonio		(Decimal('-16.1647985'), Decimal('117.605641'))	Sig. Hugo Onisto	orlandotoninelli@gmail.com				"Incrocio Melina, 2
03030, Campoli Appennino (FR)"	1984-04-05	892
panfilo77	"Canale Camiscione, 72 Piano 3
71037, Monte Sant'Angelo (FG)"	(Decimal('-37.3588565'), Decimal('-38.766178'))	Federico Gangemi	mariascalera@tim.it		M		"Vicolo Toninelli, 23 Appartamento 22
28865, Crevoladossola (VB)"	2003-04-20	1331
zyoshida		(Decimal('-3.457554'), Decimal('-129.169201'))	山口 直子	tomoya40@yahoo.com	作曲家	F		鳥取県横浜市金沢区橋場40丁目9番15号 コート湯宮508		2011
wmarek	"Jírova 371
286 66 Kardašova Řečice"	(Decimal('-20.466982'), Decimal('-137.289057'))	Lubomír Čermák	kolarondrej@volny.cz	Accountant, chartered management	M	white	"Rašínská 85
761 65 Libáň"	1981-06-03	461
ofukuda		(Decimal('6.048083'), Decimal('-134.181513'))	小川 明美	kumiko79@yahoo.com	小説家			青森県青ヶ島村高輪34丁目10番5号 山中新田シティ205		2347
biancalovato		(Decimal('56.827879'), Decimal('110.038205'))	Sig. Ferdinando Foconi	cvitturi@alice.it	Radio producer	M		"Contrada Livio, 7
75012, Serra Marina (MT)"		482
pkadlec	"Snopkova 2
215 55 Libčice nad Vltavou"	(Decimal('85.6308045'), Decimal('-147.446032'))	Alena Jelínková	rihadalibor@post.cz	Retail merchandiser			"Přípřežní 7
419 87 Jílové u Prahy"	1941-09-17	227
nedda46		(Decimal('13.4885235'), Decimal('-65.658710'))	Sonia Filzi	nicolo60@tiscali.it		F		"Via Paltrinieri, 27
15020, Valle Cerrina (AL)"		1721
sstradivari	"Contrada Silvestro, 62
57033, Marciana Marina (LI)"	(Decimal('51.6146215'), Decimal('-38.834900'))	Antonino Luria	armando60@live.com	Quantity surveyor	M		"Borgo Francesco, 54 Appartamento 40
50066, Saltino (FI)"		1759
machovadanuse		(Decimal('-39.028735'), Decimal('-147.009432'))	Václav Kopecký	adammoravec@email.cz	Charity fundraiser	M		"Novákovo Náměstí 662
362 04 Horní Cerekev"		587
dionigi50		(Decimal('62.197784'), Decimal('-93.783950'))	Pomponio Vigorelli-Cusano	adelmo62@libero.it		M		"Stretto Monaco, 768
89016, Cirello (RC)"	1953-03-17	2494
jbaldwin		(Decimal('51.316762'), Decimal('147.869396'))	Brittney Long	davistyler@hotmail.com				"14293 Patterson Lakes Suite 810
Ortegahaven, ND 14408"	1914-10-26	2277
suzukiyuta		(Decimal('23.6947605'), Decimal('30.949982'))	松本 直樹	lyamazaki@hotmail.com			unspecified	長野県北区日光18丁目4番2号 アーバン平河町078	1922-01-23	1050
holtwalter		(Decimal('-79.5674165'), Decimal('56.864370'))	Dipl.-Ing. Hellmut Freudenberger	obriemer@aol.de	Mathematiker	M		"Bärerweg 0
57224 Havelberg"		609
xtraetta	"Canale Tencalla, 5 Appartamento 1
54027, Molinello (MS)"	(Decimal('-6.435854'), Decimal('52.239767'))	Rosalia Ruberto	btaccola@libero.it	Toxicologist			"Canale Roberta, 92
33033, Biauzzo (UD)"	1939-07-05	1136
gentilinitelemaco	"Viale Licia, 561
42041, Lentigione (RE)"	(Decimal('44.359178'), Decimal('48.490304'))	Patrizia Sraffa-Guinizzelli	romolo90@hotmail.com	Petroleum engineer		unspecified	"Piazza Lazzaro, 938
56044, Lustignano (PI)"	1964-05-26	2165
auguste66	"Monika-Stoll-Gasse 9
59809 Parchim"	(Decimal('43.0319855'), Decimal('-160.882057'))	Herr Tomasz Wagenknecht	rbeer@web.de		M	black	"Karla-Löffler-Ring 9
68255 Demmin"	1922-06-25	2116
joanabarbosa		(Decimal('6.868156'), Decimal('-128.333667'))	Sophie Martins	castroenzo-gabriel@uol.com.br		F		"Viaduto de Fernandes, 64
Vila Cemig
89860089 Costela / TO"		1921
simekstefan		(Decimal('-3.904424'), Decimal('105.230484'))	Julie Růžičková	eliska34@chello.cz	Leisure centre manager		black	"Oderská 3
421 68 Zliv"		1516
bhawkins		(Decimal('-31.0816485'), Decimal('-39.009311'))	Bryan Dixon	christopherphillips@yahoo.com		M		"Unit 2178 Box 3703
DPO AE 83548"		2385
